X Y Z Strain_XX Strain_XY Strain_YY
0.6 0.52 0 -0.000212985 4.0863e-06 0.000957092
0.64 0.52 0 -0.000223607 4.96507e-06 0.000973321
0.68 0.52 0 -0.000237188 4.25164e-06 0.000992664
0.72 0.52 0 -0.000247146 2.55713e-06 0.00100638
0.76 0.52 0 -0.000251706 1.5919e-06 0.00101124
0.8 0.52 0 -0.000252365 7.07016e-07 0.00100881
0.2 0.56 0 -0.000250478 -1.15512e-06 0.00100977
0.24 0.56 0 -0.000247851 -2.95642e-06 0.00101245
0.28 0.56 0 -0.000242606 -5.53639e-06 0.00100921
0.32 0.56 0 -0.000235384 -8.79992e-06 0.000999925
0.36 0.56 0 -0.000225035 -1.02151e-05 0.000984981
0.4 0.56 0 -0.000212691 -9.66051e-06 0.000969407
0.44 0.56 0 -0.000204457 -9.29769e-06 0.000960715
0.48 0.56 0 -0.000203243 -1.64172e-06 0.000953769
0.52 0.56 0 -0.00020279 2.8632e-06 0.000953647
0.56 0.56 0 -0.000205288 8.45232e-06 0.000959444
0.6 0.56 0 -0.00021382 9.80211e-06 0.000969229
0.64 0.56 0 -0.000223885 1.24511e-05 0.000984832
0.68 0.56 0 -0.000234695 1.0779e-05 0.000999713
0.72 0.56 0 -0.000243751 7.02612e-06 0.00100957
0.76 0.56 0 -0.000247863 4.75004e-06 0.00101254
0.8 0.56 0 -0.000249489 2.85407e-06 0.00100959
0.2 0.6 0 -0.00024332 -3.65305e-06 0.00100936
0.24 0.6 0 -0.00024057 -6.75286e-06 0.00101377
0.28 0.6 0 -0.000236583 -1.01887e-05 0.00101404
0.32 0.6 0 -0.000229373 -1.52082e-05 0.00101025
0.36 0.6 0 -0.000222648 -1.58503e-05 0.00100274
0.4 0.6 0 -0.000210964 -1.7789e-05 0.000993593
0.44 0.6 0 -0.000205069 -8.76549e-06 0.000981349
0.48 0.6 0 -0.000200954 -2.54859e-06 0.00097542
0.52 0.6 0 -0.00020085 3.52061e-06 0.000975161
0.56 0.6 0 -0.000204764 8.79639e-06 0.000979878
0.6 0.6 0 -0.000212045 1.61057e-05 0.000991899
0.64 0.6 0 -0.000221286 1.82783e-05 0.00100258
0.68 0.6 0 -0.000230183 1.55571e-05 0.00100998
0.72 0.6 0 -0.000234822 1.24659e-05 0.00101338
0.76 0.6 0 -0.000239249 8.93499e-06 0.00101312
0.8 0.6 0 -0.000241653 6.78587e-06 0.00100927
0.2 0.64 0 -0.000236948 -1.05582e-05 0.0010118
0.24 0.64 0 -0.000231026 -1.60231e-05 0.00101662
0.28 0.64 0 -0.000224991 -1.93053e-05 0.00101816
0.32 0.64 0 -0.000220013 -2.17021e-05 0.00101884
0.36 0.64 0 -0.000213354 -2.59163e-05 0.00102066
0.4 0.64 0 -0.00020905 -1.68371e-05 0.0010145
0.44 0.64 0 -0.000201605 -1.00636e-05 0.00100825
0.48 0.64 0 -0.000197008 -3.02166e-06 0.00100354
0.52 0.64 0 -0.00019696 4.19566e-06 0.00100378
0.56 0.64 0 -0.000201404 1.18031e-05 0.00100873
0.6 0.64 0 -0.000208371 1.8934e-05 0.00101489
0.64 0.64 0 -0.000213989 2.44569e-05 0.00101879
0.68 0.64 0 -0.000218551 2.38698e-05 0.00101824
0.72 0.64 0 -0.000224116 2.12997e-05 0.00101784
0.76 0.64 0 -0.000230497 1.69884e-05 0.00101611
0.8 0.64 0 -0.000234731 1.22771e-05 0.00101064
0.2 0.68 0 -0.000227141 -2.16433e-05 0.00101327
0.24 0.68 0 -0.000219522 -2.50823e-05 0.0010169
0.28 0.68 0 -0.000213437 -2.88675e-05 0.00102134
0.32 0.68 0 -0.000206918 -3.45179e-05 0.00102696
0.36 0.68 0 -0.000203391 -3.07668e-05 0.00102891
0.4 0.68 0 -0.000200399 -2.56563e-05 0.00103328
0.44 0.68 0 -0.000196259 -1.49803e-05 0.00103241
0.48 0.68 0 -0.000193029 -4.75e-06 0.00103153
0.52 0.68 0 -0.000192988 5.71581e-06 0.0010317
0.56 0.68 0 -0.000195984 1.62145e-05 0.00103245
0.6 0.68 0 -0.000199735 2.55999e-05 0.0010316
0.64 0.68 0 -0.000202466 3.25063e-05 0.00102863
0.68 0.68 0 -0.000206868 3.34311e-05 0.00102509
0.72 0.68 0 -0.000211225 3.0773e-05 0.00102001
0.76 0.68 0 -0.00021761 2.80717e-05 0.00101664
0.8 0.68 0 -0.000227067 2.34185e-05 0.0010139
0.2 0.72 0 -0.000215569 -3.22479e-05 0.00101302
0.24 0.72 0 -0.000208854 -3.70588e-05 0.00101948
0.28 0.72 0 -0.00020029 -4.30216e-05 0.00102464
0.32 0.72 0 -0.000193296 -4.25108e-05 0.00102705
0.36 0.72 0 -0.00019061 -3.95677e-05 0.00103435
0.4 0.72 0 -0.000188766 -3.30041e-05 0.00104078
0.44 0.72 0 -0.00018846 -2.12932e-05 0.00104695
0.48 0.72 0 -0.000187387 -7.36271e-06 0.00104878
0.52 0.72 0 -0.000187398 7.95746e-06 0.00104881
0.56 0.72 0 -0.000187772 2.1683e-05 0.00104552
0.6 0.72 0 -0.000188401 3.40727e-05 0.00104095
0.64 0.72 0 -0.000189503 4.06283e-05 0.00103349
0.68 0.72 0 -0.000192297 4.39765e-05 0.00102687
0.72 0.72 0 -0.000199163 4.22916e-05 0.00102296
0.76 0.72 0 -0.000205045 3.88247e-05 0.00101675
0.8 0.72 0 -0.000213475 3.50096e-05 0.00101235
0.2 0.76 0 -0.000206778 -4.6821e-05 0.00101714
0.24 0.76 0 -0.000195104 -5.36221e-05 0.00102112
0.28 0.76 0 -0.000183218 -5.37341e-05 0.00102008
0.32 0.76 0 -0.000177372 -5.14609e-05 0.0010254
0.36 0.76 0 -0.000174979 -4.72155e-05 0.00103329
0.4 0.76 0 -0.00017358 -3.83519e-05 0.00104039
0.44 0.76 0 -0.000174862 -2.4771e-05 0.00104792
0.48 0.76 0 -0.000175162 -8.78887e-06 0.00105151
0.52 0.76 0 -0.000175233 9.05132e-06 0.00105151
0.56 0.76 0 -0.00017455 2.50295e-05 0.0010476
0.6 0.76 0 -0.000173262 3.89396e-05 0.00103996
0.64 0.76 0 -0.000174319 4.69761e-05 0.00103255
0.68 0.76 0 -0.000175515 5.2558e-05 0.00102396
0.72 0.76 0 -0.000182494 5.50289e-05 0.00102077
0.76 0.76 0 -0.000192666 5.28336e-05 0.00101889
0.8 0.76 0 -0.000200303 4.88099e-05 0.00101296
0.2 0.8 0 -0.000190438 -6.74283e-05 0.00101882
0.24 0.8 0 -0.000173665 -6.7832e-05 0.00101347
0.28 0.8 0 -0.000163075 -6.49908e-05 0.00101427
0.32 0.8 0 -0.00015895 -6.00012e-05 0.00102101
0.36 0.8 0 -0.000154493 -5.30475e-05 0.00102488
0.4 0.8 0 -0.000154312 -4.10233e-05 0.00103241
0.44 0.8 0 -0.00015558 -2.65093e-05 0.0010394
0.48 0.8 0 -0.000156165 -9.41015e-06 0.00104303
0.52 0.8 0 -0.000156256 9.57463e-06 0.00104318
0.56 0.8 0 -0.000155691 2.63626e-05 0.00103982
0.6 0.8 0 -0.000153664 4.18834e-05 0.00103206
0.64 0.8 0 -0.000154579 5.28143e-05 0.0010256
0.68 0.8 0 -0.000156974 5.99223e-05 0.00101902
0.72 0.8 0 -0.000161149 6.54308e-05 0.00101247
0.76 0.8 0 -0.000172898 6.86915e-05 0.00101467
0.8 0.8 0 -0.000186867 6.69363e-05 0.00101634
