X Y Z Stress_XX Stress_XY Stress_YY
0.64 0.6 0 88.9685 21.3978 2716.28
0.68 0.6 0 80.9324 25.4535 2704.78
0.72 0.6 0 68.2297 26.983 2691.56
0.76 0.6 0 56.4255 27.9233 2673.26
0.8 0.6 0 43.9788 26.2786 2650.89
0.2 0.64 0 56.2305 -39.87 2653.97
0.24 0.64 0 72.6944 -40.3499 2673.68
0.28 0.64 0 86.5953 -39.5542 2690.21
0.32 0.64 0 101.1 -35.8632 2702.05
0.36 0.64 0 113.089 -30.1984 2710.34
0.4 0.64 0 118.163 -23.1952 2716.11
0.44 0.64 0 125.882 -14.5709 2719.3
0.48 0.64 0 129.796 -4.85191 2721.42
0.52 0.64 0 130.499 4.6154 2721.28
0.56 0.64 0 127.487 13.6242 2719.2
0.6 0.64 0 120.656 22.4617 2716.44
0.64 0.64 0 112.007 30.2266 2710.57
0.68 0.64 0 99.2359 35.1862 2702.37
0.72 0.64 0 87.2835 39.9658 2688.86
0.76 0.64 0 72.7962 41.2441 2673.76
0.8 0.64 0 57.3638 39.7095 2652.69
0.2 0.68 0 77.7701 -56.2308 2657.58
0.24 0.68 0 95.244 -57.1015 2673.43
0.28 0.68 0 111.994 -53.9111 2686.84
0.32 0.68 0 129.863 -48.7599 2695.66
0.36 0.68 0 138.934 -40.4803 2702.67
0.4 0.68 0 153.869 -30.1094 2707.09
0.44 0.68 0 154.816 -18.61 2709.95
0.48 0.68 0 160.721 -6.14247 2710.8
0.52 0.68 0 160.235 5.48151 2710.57
0.56 0.68 0 154.285 19.0565 2709.92
0.6 0.68 0 151.558 30.401 2706.67
0.64 0.68 0 142.074 39.5174 2702.57
0.68 0.68 0 130.333 49.0374 2696.22
0.72 0.68 0 114.664 54.199 2687.06
0.76 0.68 0 96.1378 56.0284 2673.69
0.8 0.68 0 79.1644 55.2427 2656.52
0.2 0.72 0 105.217 -77.1365 2659.77
0.24 0.72 0 126.809 -75.4445 2672.6
0.28 0.72 0 149.676 -70.9242 2681.6
