 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
   95     0.00634055              1   0.00214343     0.00210344   0.00634055       0.00627258   T=3.74349s   ACCEPTED
   96     0.00627258              1   0.00210344      0.0020643   0.00627258       0.00620553   T=3.69019s   ACCEPTED
   97     0.00620553              1    0.0020643       0.002026   0.00620553       0.00613938   T=3.67806s   ACCEPTED
   98     0.00613938              1     0.002026     0.00198851   0.00613938       0.00607412   T=3.86566s   ACCEPTED
   99     0.00607412              1   0.00198851     0.00195181   0.00607412       0.00600972   T=3.90506s   ACCEPTED
  100     0.00600972              1   0.00195181     0.00191588   0.00600972       0.00594617   T=3.70781s   ACCEPTED
  101     0.00594617              1   0.00191588     0.00188071   0.00594617       0.00588344   T=3.79083s   ACCEPTED
  102     0.00588344              1   0.00188071     0.00184628   0.00588344       0.00582152   T=3.83451s   ACCEPTED
  103     0.00582152              1   0.00184628     0.00181257   0.00582152        0.0057604   T=3.8661s   ACCEPTED
  104      0.0057604              1   0.00181257     0.00177956    0.0057604       0.00570005   T=3.78281s   ACCEPTED
  105     0.00570005              1   0.00177956     0.00174724   0.00570005       0.00564047   T=3.75125s   ACCEPTED
  106     0.00564047              1   0.00174724     0.00171559   0.00564047       0.00558163   T=3.65263s   ACCEPTED
  107     0.00558163              1   0.00171559      0.0016846   0.00558163       0.00552353   T=3.49694s   ACCEPTED
  108     0.00552353              1    0.0016846     0.00165425   0.00552353       0.00546615   T=3.89152s   ACCEPTED
  109     0.00546615              1   0.00165425     0.00162452   0.00546615       0.00540947   T=3.70729s   ACCEPTED
  110     0.00540947              1   0.00162452     0.00159541   0.00540947       0.00535349   T=3.89325s   ACCEPTED
  111     0.00535349              1   0.00159541      0.0015669   0.00535349       0.00529819   T=3.8844s   ACCEPTED
  112     0.00529819              1    0.0015669     0.00153898   0.00529819       0.00524356   T=3.89126s   ACCEPTED
  113     0.00524356              1   0.00153898     0.00151162   0.00524356        0.0051896   T=3.87613s   ACCEPTED
  114      0.0051896              1   0.00151162     0.00148483    0.0051896       0.00513628   T=3.88511s   ACCEPTED
  115     0.00513628              1   0.00148483     0.00145858   0.00513628        0.0050836   T=3.79703s   ACCEPTED
  116      0.0050836              1   0.00145858     0.00143287    0.0050836       0.00503155   T=3.63351s   ACCEPTED
  117     0.00503155              1   0.00143287     0.00140769   0.00503155       0.00498011   T=3.84464s   ACCEPTED
  118     0.00498011              1   0.00140769     0.00138301   0.00498011       0.00492929   T=3.81411s   ACCEPTED
  119     0.00492929              1   0.00138301     0.00135884   0.00492929       0.00487906   T=3.73149s   ACCEPTED
  120     0.00487906              1   0.00135884     0.00133515   0.00487906       0.00482943   T=3.71897s   ACCEPTED
  121     0.00482943              1   0.00133515     0.00131195   0.00482943       0.00478038   T=3.73425s   ACCEPTED
  122     0.00478038              1   0.00131195     0.00128921   0.00478038        0.0047319   T=3.7674s   ACCEPTED
  123      0.0047319              1   0.00128921     0.00126693    0.0047319       0.00468398   T=3.77346s   ACCEPTED
  124     0.00468398              1   0.00126693      0.0012451   0.00468398       0.00463662   T=3.55784s   ACCEPTED
  125     0.00463662              1    0.0012451     0.00122372   0.00463662       0.00458981   T=3.82099s   ACCEPTED
  126     0.00458981              1   0.00122372     0.00120275   0.00458981       0.00454355   T=3.76536s   ACCEPTED
  127     0.00454355              1   0.00120275     0.00118221   0.00454355       0.00449781   T=3.52189s   ACCEPTED
  128     0.00449781              1   0.00118221     0.00116209   0.00449781        0.0044526   T=3.69547s   ACCEPTED
  129      0.0044526              1   0.00116209     0.00114236    0.0044526       0.00440791   T=3.78112s   ACCEPTED
  130     0.00440791              1   0.00114236     0.00112303   0.00440791       0.00436373   T=3.35283s   ACCEPTED
  131     0.00436373              1   0.00112303     0.00110408   0.00436373       0.00432006   T=3.75861s   ACCEPTED
  132     0.00432006              1   0.00110408     0.00108551   0.00432006       0.00427688   T=3.75825s   ACCEPTED
  133     0.00427688              1   0.00108551     0.00106731   0.00427688        0.0042342   T=3.81065s   ACCEPTED
  134      0.0042342              1   0.00106731     0.00104947    0.0042342         0.004192   T=3.60143s   ACCEPTED
  135       0.004192              1   0.00104947     0.00103199     0.004192       0.00415028   T=3.54385s   ACCEPTED
  136     0.00415028              1   0.00103199     0.00101485   0.00415028       0.00410903   T=3.58782s   ACCEPTED
  137     0.00410903              1   0.00101485    0.000998047   0.00410903       0.00406825   T=3.66841s   ACCEPTED
  138     0.00406825              1   0.000998047    0.000981578   0.00406825       0.00402794   T=3.65378s   ACCEPTED
  139     0.00402794              1   0.000981578    0.000965434   0.00402794       0.00398807   T=3.68411s   ACCEPTED
  140     0.00398807              1   0.000965434    0.000949608   0.00398807       0.00394866   T=3.81821s   ACCEPTED
  141     0.00394866              1   0.000949608    0.000934093   0.00394866       0.00390968   T=3.82003s   ACCEPTED
  142     0.00390968              1   0.000934093    0.000918883   0.00390968       0.00387115   T=3.66233s   ACCEPTED
  143     0.00387115              1   0.000918883    0.000903971   0.00387115       0.00383305   T=3.83425s   ACCEPTED
  144     0.00383305              1   0.000903971    0.000889351   0.00383305       0.00379538   T=3.7954s   ACCEPTED
  145     0.00379538              1   0.000889351    0.000875017   0.00379538       0.00375812   T=3.69376s   ACCEPTED
  146     0.00375812              1   0.000875017    0.000860963   0.00375812       0.00372129   T=3.65847s   ACCEPTED
  147     0.00372129              1   0.000860963    0.000847182   0.00372129       0.00368487   T=3.58934s   ACCEPTED
  148     0.00368487              1   0.000847182    0.000833671   0.00368487       0.00364885   T=3.84592s   ACCEPTED
  149     0.00364885              1   0.000833671    0.000820421   0.00364885       0.00361324   T=3.74153s   ACCEPTED
  150     0.00361324              1   0.000820421     0.00080743   0.00361324       0.00357802   T=3.65809s   ACCEPTED
  151     0.00357802              1   0.00080743     0.00079469   0.00357802        0.0035432   T=3.68075s   ACCEPTED
  152      0.0035432              1   0.00079469    0.000782196    0.0035432       0.00350876   T=3.71218s   ACCEPTED
