 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
   94    0.000624682              8   0.000208748    0.000207562   0.000624682      0.000713223   T=0.674772s   ACCEPTED
   95    0.000713223            6.4   0.000207562    0.000206248   0.000713223      0.000621539   T=0.895922s   ACCEPTED
   96    0.000621539              8   0.000206248    0.000205111   0.000621539      0.000711516   T=0.670745s   ACCEPTED
   97    0.000711516            6.4   0.000205111    0.000203829   0.000711516      0.000618937   T=0.920656s   ACCEPTED
   98    0.000618937              8   0.000203829    0.000202738   0.000618937      0.000710395   T=0.6718s   ACCEPTED
   99    0.000710395            6.4   0.000202738    0.000201488   0.000710395      0.000616857   T=0.900766s   ACCEPTED
  100    0.000616857              8   0.000201488    0.000200439   0.000616857       0.00070984   T=0.672581s   ACCEPTED
  101     0.00070984            6.4   0.000200439    0.000199217   0.00070984      0.000615281   T=0.892337s   ACCEPTED
  102    0.000615281              8   0.000199217    0.000198209   0.000615281      0.000709836   T=0.679431s   ACCEPTED
  103    0.000709836            6.4   0.000198209    0.000197013   0.000709836      0.000614192   T=0.898942s   ACCEPTED
  104    0.000614192              8   0.000197013    0.000196043   0.000614192      0.000710366   T=0.686358s   ACCEPTED
  105    0.000710366            6.4   0.000196043    0.000194872   0.000710366      0.000613575   T=0.901252s   ACCEPTED
  106    0.000613575              8   0.000194872    0.000193938   0.000613575      0.000711417   T=0.669754s   ACCEPTED
  107    0.000711417            6.4   0.000193938    0.000192789   0.000711417      0.000613416   T=0.881455s   ACCEPTED
  108    0.000613416            6.4   0.000192789    0.000191732   0.000613416      0.000540407   T=0.879655s   ACCEPTED
  109    0.000540407              8   0.000191732    0.000190762   0.000540407      0.000613947   T=0.667556s   ACCEPTED
  110    0.000613947            6.4   0.000190762    0.000189725   0.000613947      0.000539783   T=0.894819s   ACCEPTED
  111    0.000539783              8   0.000189725    0.000188786   0.000539783      0.000614924   T=0.677349s   ACCEPTED
  112    0.000614924            6.4   0.000188786    0.000187769   0.000614924      0.000539552   T=0.888681s   ACCEPTED
  113    0.000539552              8   0.000187769    0.000186859   0.000539552      0.000616337   T=0.660617s   ACCEPTED
  114    0.000616337            6.4   0.000186859    0.000185859   0.000616337      0.000539704   T=0.900024s   ACCEPTED
  115    0.000539704              8   0.000185859    0.000184978   0.000539704      0.000618178   T=0.678111s   ACCEPTED
  116    0.000618178            6.4   0.000184978    0.000183994   0.000618178      0.000540232   T=0.890932s   ACCEPTED
  117    0.000540232              8   0.000183994     0.00018314   0.000540232      0.000620441   T=0.671445s   ACCEPTED
  118    0.000620441            6.4   0.00018314    0.000182171   0.000620441      0.000541126   T=0.905498s   ACCEPTED
